Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ
39,0.15,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.19,0.00,0.19,10.00,0.00,10.00
40,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.19,0.00,0.19
40,0.16,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.19,0.00,0.19,10.00,0.00,10.00
41,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.19,0.00,0.19
41,0.16,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.20,0.00,0.20,10.00,0.00,10.00
42,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.20,0.00,0.20
42,0.16,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.20,0.00,0.20,10.00,0.00,10.00
43,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.20,0.00,0.20
43,0.16,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.20,0.00,0.20,10.00,0.00,10.00
44,0.17,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.20,0.00,0.20
44,0.17,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.21,0.00,0.21,10.00,0.00,10.00
45,0.17,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.21,0.00,0.21
45,0.17,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.21,0.00,0.21,10.00,0.00,10.00
46,0.17,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.21,0.00,0.21
46,0.17,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.22,0.00,0.22,10.00,0.00,10.00
47,0.17,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.22,0.00,0.22
47,0.17,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.22,0.00,0.22,10.00,0.00,10.00
48,0.18,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.22,0.00,0.22
48,0.18,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.22,0.00,0.22,10.00,0.00,10.00
49,0.18,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.22,0.00,0.22
49,0.18,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.23,0.00,0.23,10.00,0.00,10.00
50,0.18,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.23,0.00,0.23
50,0.18,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.23,0.00,0.23,10.00,0.00,10.00
51,0.19,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.23,0.00,0.23
51,0.19,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.24,0.00,0.24,10.00,0.00,10.00
52,0.19,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.24,0.00,0.24
52,0.19,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.24,0.00,0.24,10.00,0.00,10.00
53,0.19,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.24,0.00,0.24
53,0.19,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.24,0.00,0.24,10.00,0.00,10.00
54,0.19,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.24,0.00,0.24
54,0.19,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.25,0.00,0.25,10.00,0.00,10.00
55,0.20,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.25,0.00,0.25
55,0.20,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.25,0.00,0.25,10.00,0.00,10.00
56,0.20,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.25,0.00,0.25
56,0.20,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.25,0.00,0.25,10.00,0.00,10.00
57,0.20,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.25,0.00,0.25
57,0.20,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.26,0.00,0.26,10.00,0.00,10.00
58,0.20,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.26,0.00,0.26
58,0.20,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.26,0.00,0.26,10.00,0.00,10.00
59,0.21,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.26,0.00,0.26
59,0.21,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.26,0.00,0.26,10.00,0.00,10.00
60,0.21,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.26,0.00,0.26
60,0.21,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.27,0.00,0.27,10.00,0.00,10.00
61,0.21,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.27,0.00,0.27
61,0.21,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.27,0.00,0.27,10.00,0.00,10.00
62,0.21,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.27,0.00,0.27
62,0.21,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.27,0.00,0.27,10.00,0.00,10.00
63,0.22,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.27,0.00,0.27
63,0.22,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.28,0.00,0.28,10.00,0.00,10.00
64,0.22,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.28,0.00,0.28
64,0.22,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.28,0.00,0.28,10.00,0.00,10.00
65,0.22,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.28,0.00,0.28
65,0.22,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.28,0.00,0.28,10.00,0.00,10.00
66,0.22,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.28,0.00,0.28
66,0.22,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.29,0.00,0.29,10.00,0.00,10.00
67,0.23,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.29,0.00,0.29
67,0.23,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.29,0.00,0.29,10.00,0.00,10.00
68,0.23,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.29,0.00,0.29
68,0.23,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.30,0.00,0.30,10.00,0.00,10.00
69,0.23,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.30,0.00,0.30
69,0.23,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.30,0.00,0.30,10.00,0.00,10.00
70,0.23,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.30,0.00,0.30
70,0.23,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.30,0.00,0.30,10.00,0.00,10.00
71,0.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.30,0.00,0.30
71,0.24,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.31,0.00,0.31,10.00,0.00,10.00
72,0.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.31,0.00,0.31
72,0.24,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.31,0.00,0.31,10.00,0.00,10.00
73,0.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.31,0.00,0.31
